RELATION	LEFTTERM	RIGHTTERM	COUNT
ancestor	militant_leaders	baitullah_mehsud	1
sibling	current_injection	environmental_testing	1
sibling	film_production	search_and_rescue	1
ancestor	airframe_structural_components	advanced_composite_materials	1
sibling	rare_earth	trace_element	1
ancestor	$55.65	free_shipping	1
sibling	flying_car	passenger_drone	1
ancestor	AIS	seaway_management	1
ancestor	civil_aviation	unmanned_aircraft_systems	1
sibling	bridge_inspections	search_and_rescue	1
ancestor	key_components	aviator_problem_solving	1
sibling	control_rooms	geographically_distributed	1
sibling	lightning_physics	lightning_protection	1
sibling	high_speed	long_duration	1
ancestor	NASA	government_entities	1
sibling	sql_scripts	ssis_log	1
ancestor	machine_learning	modern_workloads	1
sibling	drone_technology	laser_scanners	1
sibling	4k_camera	intel_realsense_collision_avoidance	1
sibling	real_estate_companies	public_safety	1
sibling	web_sites	IP	1
ancestor	non_destructive_inspection	magnetic_particle	1
sibling	augmented_reality	drone_technology	1
sibling	aerial_photography	low_level	1
ancestor	armed_groups	nonstate_actors	1
sibling	upper_mantle	lower_crustal	1
ancestor	drone_makers	DJI	1
sibling	CAD	graphic_design	1
ancestor	ONERA	partner_organizations	1
sibling	law_enforcement	public_safety	1
sibling	gray_seals	YOY	1
sibling	SLSA	ELSA	1
ancestor	user_groups	AOPA	1
ancestor	air_traffic	air_tankers	1
ancestor	advanced_technologies	artificial_intelligence	1
sibling	neutral_density	narrow_band	1
sibling	software_engineering	object_oriented	1
ancestor	non_destructive_inspection	dye_penetrant	1
sibling	SOC	ISO	1
sibling	search_and_rescue	border_patrol	1
ancestor	volume_production	reduced_costs	1
sibling	privacy_advocates	UAS	1
ancestor	cross_cutting_concerns	data_access	1
ancestor	payload_capabilities	high_definition_imaging	1
sibling	RTF	DOC	1
sibling	BUZZER	SWITCH	1
ancestor	NSA	intelligence_agencies	1
sibling	rest_api	SOAP	1
sibling	bae_systems	cranfield_university	1
sibling	ATM	RPAS	1
ancestor	national_airspace_system	detect_and_avoid	1
sibling	adaptive_cruise_control	blind_spot_detection	1
sibling	RF	wireless_communication	1
sibling	NXT	ROS	1
sibling	elon_musk	stephen_hawking	1
ancestor	JVM	memory_usage	1
sibling	community_policing	UAS	1
sibling	DOT	DEC	1
ancestor	industry_partners	ITE	1
ancestor	latest_technologies	GWT	1
sibling	low_frequency	high_frequency	1
sibling	J2EE	JMS	1
ancestor	airport_improvement_program	UAS	1
sibling	SOA	OSB	1
sibling	small_drones	model_aircraft	1
sibling	VTOL	tilt_rotor	1
ancestor	XML	SOAP	1
sibling	forest_management	search_and_rescue	1
ancestor	safety_oversight	gao_identified	1
sibling	led_illumination	GPS	1
sibling	radio_controlled	autonomously_flown	1
ancestor	alert_rule	general_characteristics	1
sibling	LANs	WANs	1
ancestor	critical_infrastructure	electric_transmission	1
ancestor	complex_scenarios	multiple_drones_simultaneously	1
ancestor	lightning_discharges	return_strokes	1
ancestor	relational_dbms	data_sources	1
ancestor	web_browser	internet_explorer	1
sibling	closed_source	open_source	1
sibling	low_altitude_authorization	notification_capability	1
sibling	physical_characteristics	flight_controller	1
ancestor	robotics_researchers	stephen_hawking	1
sibling	fixed_wing	autonomous_flight	1
sibling	durable_frame	headless_mode	1
ancestor	common_threats	ISIS	1
sibling	VME	VPX	1
ancestor	server_centric	J2EE	1
sibling	charging_stations	landing_facilities	1
sibling	unmanned_aircraft	commercial_jets	1
sibling	FAA	AMA	1
ancestor	health_outcomes	fuel_levels	1
sibling	JPEG	raw_dng	1
sibling	disease_monitoring	precision_spraying	1
sibling	traffic_flow_management	automatic_dependent_surveillance_broadcast	1
ancestor	law_professor	civil_liberties	1
sibling	avoid_congestion	temporary_road	1
ancestor	US	puerto_rico	1
sibling	low_power	high_performance	1
ancestor	speech_recognition	noise_cancellation	1
sibling	car_sharing	multi_modal	1
ancestor	sensor_options	visible_light	1
ancestor	commercial_operations	aerial_imagery	1
sibling	CTOL	CV	1
sibling	search_and_rescue	drug_interdiction	1
ancestor	UML	visual_tools	1
ancestor	special_topics	low_level	1
sibling	agricultural_surveys	search_and_rescue	1
sibling	MEMS	smart_materials	1
ancestor	radio_communication	communication_systems	1
sibling	search_and_rescue	insurance_assessment	1
sibling	web_based	rich_client	1
sibling	DJI	aerial_media	1
ancestor	digital_intelligence	image_recognition	1
sibling	akira_fujii	keisuke_sanda	1
ancestor	developing_brood	drone_brood	1
ancestor	propulsion_systems	battery_powered	1
sibling	QHD	UHD	1
sibling	machine_learning	automated_driving	1
sibling	high_density	connectivity_line	1
ancestor	agricultural_applications	remote_sensing	1
sibling	white_hot	black_hot	1
ancestor	JMS	ibm_websphere	1
sibling	REE	trace_element	1
sibling	al_qaeda	ISIS	1
sibling	step_s406	S407	1
ancestor	LAANC	technology_enhancements	1
ancestor	feature_set	high_intensity	1
sibling	safety_guidelines	nationwide_community_based	1
sibling	jumping_night	jumping_race	1
ancestor	trade_offs	ISO	1
sibling	news_feeds	content_syndication	1
ancestor	operating_system	UNIX	1
ancestor	conference_program	plenary_lectures	1
sibling	subbituminous_coal	bituminous_coal	1
ancestor	moving_platforms	naval_ships	1
sibling	FLEX	GWT	1
sibling	big_data	social_media	1
ancestor	drone_strikes	abdul_qodus	1
ancestor	natural_phenomenon	volcanic_eruptions	1
sibling	web_server	gis_server	1
ancestor	web_based	CNET	1
sibling	text_messaging	digital_conferences	1
sibling	IS	gorgon_stare	1
ancestor	CAD	point_cloud	1
ancestor	emergency_response	critical_areas	1
sibling	military_facilities	RAAF	1
sibling	synthetic_aperture_radar	passive_electronic	1
sibling	augmented_reality	virtual_reality	1
ancestor	machine_vision	object_detection	1
sibling	lte_modem	GPS	1
sibling	BLK	GRN	1
ancestor	FAA	LAANC	1
sibling	weather_forecasting	package_delivery	1
sibling	crop_scouting	disease_monitoring	1
sibling	toy_guns	remote_controlled	1
ancestor	commercial_applications	wildlife_monitoring	1
sibling	search_and_rescue	public_safety	1
ancestor	evaluating_emerging	delivery_drones	1
ancestor	drone_technology	gps_tracking	1
sibling	bituminous_coal	natural_gas	1
sibling	federal_regulations	privacy_concerns	1
ancestor	service_provider	service_provisioning	1
sibling	USB	charging_pad	1
sibling	ATI	NVIDIA	1
sibling	SQL	XQuery	1
sibling	barricade_situations	fatal_accidents	1
sibling	CAN	API	1
sibling	forward_looking_infra_red	night_vision_goggles	1
sibling	risk_management	program_management	1
sibling	law_enforcement	emergency_management	1
sibling	civil_engineering	electrical_engineering	1
ancestor	DJI	drone_makers	1
ancestor	small_unmanned	voltage_regulation	1
sibling	dji_spark	wingsland_s6	1
ancestor	high_rise_buildings	complex_structures	1
ancestor	GPS	satellite_systems	1
ancestor	common_threats	al_qaeda	1
sibling	greater_flexibility	combat_capability	1
ancestor	NASA	industry_partners	1
sibling	serial_port	udp_connections	1
ancestor	regulatory_actions	mitigation_measures	1
sibling	XML	SQL	1
ancestor	key_features	vortex_formation	1
ancestor	application_servers	oracle_fusion_middleware	1
ancestor	ready_to_fly	xiro_xplorer_mini	1
sibling	CV	AV	1
sibling	swarm_intelligence	swarm_robotics_research	1
sibling	ICAO	EUROCONTROL	1
sibling	ground_control_systems	data_links	1
sibling	WSDL	SOAP	1
sibling	remotely_piloted_aircraft	model_aircraft	1
ancestor	technical_solutions	geo_fencing	1
ancestor	add_ons	propeller_guards	1
sibling	aeronautical_decision_making	situational_awareness	1
ancestor	rasberry_pi	SBC	1
ancestor	non_destructive_inspection	eddy_current	1
ancestor	mail_protocols	SMTP	1
sibling	cutter_based	land_based	1
sibling	forest_fires	volcanic_eruptions	1
sibling	aerial_photography	aerial_cinematography	1
ancestor	airport_operations	perimeter_security	1
sibling	cpu_utilization	memory_usage	1
ancestor	multiple_missions	vertical_takeoff	1
sibling	SQL	ODBC	1
sibling	official_tracks	tiny_whoop	1
ancestor	humanitarian_efforts	disaster_relief	1
sibling	flight_control	safety_critical	1
ancestor	large_cap	lockheed_martin	1
sibling	product_liability	construction_site	1
sibling	HTML	XHTML	1
ancestor	radio_controlled_aircraft	unmanned_aerial_vehicles	1
ancestor	mission_sets	electronic_warfare	1
ancestor	related_occupations	civil_engineers	1
ancestor	unmanned_aircraft_systems	air_vehicles	1
sibling	subbituminous_coal	natural_gas	1
ancestor	panama_canal	seaway_management	1
sibling	MSMQ	SOAP	1
sibling	DDS	AMQP	1
ancestor	API	low_level	1
sibling	PCI	SOC	1
sibling	radio_controlled_aircraft	radio_controlled_helicopters	1
sibling	air_traffic_control	cellular_phones	1
sibling	LILE	HFSE	1
sibling	UAVs	UAV	1
sibling	solar_cells	hydrogen_based	1
sibling	crop_monitoring	site_surveying	1
ancestor	management_tools	geo_fencing	1
sibling	communication_towers	high_voltage_overhead	1
sibling	HTML	DOC	1
ancestor	launch_files	live_demos	1
sibling	IT	cloud_services	1
ancestor	militant_leaders	faisal_shahzad	1
ancestor	drone_swarms	emerging_technologies	1
sibling	DDS	SOAP	1
sibling	ground_forces	air_defense	1
sibling	blighter_surveillance_systems	enterprise_control_systems	1
ancestor	commercial_purposes	real_estate_agents	1
ancestor	tactical_operations	JTAC	1
sibling	flight_paths	restricted_airspace	1
ancestor	significant_benefits	infrastructure_inspection	1
sibling	expression_filter	rules_manager	1
sibling	LGPL	GPL	1
ancestor	law_enforcement_agencies	local_police	1
sibling	US	british_intelligence	1
sibling	APM	parrot_ar.drone	1
ancestor	national_aviation_authorities	government_departments	1
sibling	software_engineers	quality_assurance	1
ancestor	radio_systems	wi_fi	1
ancestor	legitimate_purposes	search_and_rescue	1
ancestor	UAS	model_aircraft	1
sibling	data_exploitation	mission_planning	1
ancestor	wireless_communications	life_saving	1
ancestor	flight_stats	battery_charge	1
ancestor	output_formats	PDF	1
sibling	change_detection	oil_spills	1
sibling	SOC	HIPAA	1
ancestor	natural_hazards	severe_weather	1
ancestor	indian_government	disaster_management	1
sibling	CORBA	JMS	1
ancestor	al_qaeda_linked_groups	al_qaeda	1
sibling	sense_and_avoid	geo_fencing	1
sibling	wind_turbines	offshore_oil_rigs	1
sibling	heap_memory	gc_activity	1
sibling	government_agencies	public_safety_departments	1
sibling	VRSG	MACE	1
sibling	hard_drives	cell_phones	1
ancestor	low_altitude_airspace	flying_cars	1
sibling	land_surveying	search_and_rescue	1
ancestor	sheet_metal	major_repairs	1
ancestor	hewlett_packard	B2B	1
ancestor	valid_military_objectives	aqap_leaders	1
sibling	multi_spectral	hyper_spectral	1
ancestor	weather_conditions	external_factors	1
sibling	highly_desirable	easily_accessible	1
sibling	unmanned_aerial_system	lesser_kestrel	1
sibling	night_waivers	beyond_visual_line_of_sight	1
sibling	annual_reports	federal_aviation_administration	1
ancestor	advanced_technology	augmented_reality	1
sibling	AOPA	EAA	1
ancestor	shield_generators	military_equipment	1
sibling	cell_phones	PDAs	1
sibling	GPS	intel_realsense_collision_avoidance	1
sibling	air_traffic_control	coastal_surveillance	1
sibling	wildlife_conservation	aerial_photography	1
sibling	JMS	MSMQ	1
ancestor	FBI	law_enforcement_agencies	1
sibling	water_depth	vegetation_cover	1
ancestor	intelligent_features	target_tracking	1
ancestor	industrial_applications	tower_inspection	1
sibling	dedicated_technical	editorial_team	1
sibling	CMMS	ERP	1
ancestor	terminal_emulation	TTY	1
ancestor	extra_features	dslr_cameras	1
ancestor	pricier_models	wingsland_s6	1
ancestor	operational_concepts	littoral_operations	1
ancestor	robotic_vehicles	sensor_integration	1
sibling	fixed_wing	vertical_takeoff	1
ancestor	$25,000	PIX4D	1
sibling	3.3v_uart	3.3v_i2c	1
sibling	unmanned_aerial	ground_vehicle	1
ancestor	body_posture	body_arching	1
sibling	routing_calls	retrieving_messages	1
sibling	multi_mission	payload_flexibility	1
ancestor	network_infrastructure	proxy_servers	1
sibling	trace_element	sr_isotope	1
ancestor	UAV	gainesville_based	1
ancestor	field_emission	chemical_vapor_deposited	1
sibling	virtual_reality	drone_technology	1
sibling	ongoing_conflicts	terrorist_attacks	1
ancestor	operating_system	windows_xp	1
sibling	adverse_weather	limited_visibility	1
sibling	NSA	GCHQ	1
sibling	autonomous_flight	beyond_line_of_sight	1
sibling	information_sharing	data_exchange	1
sibling	microsoft_windows_desktop	terminal_server_platform	1
sibling	power_supplies	solid_state	1
sibling	performance_based_navigation	air_traffic_flow_management	1
ancestor	web_frameworks	GWT	1
ancestor	industry_standards	SQL	1
ancestor	risk_management	RPAS	1
ancestor	public_safety_departments	large_companies	1
sibling	proxy_servers	dns_servers	1
ancestor	national_brands	SR	1
sibling	water_levels	visibility_conditions	1
sibling	competing_consumers	publish_subscribe_channel	1
sibling	crypto_currencies	artificial_intelligence	1
ancestor	and_energy	autonomous_vessels	1
sibling	xiro_xplorer_mini	parrot_bebop	1
sibling	software_engineering	computer_science	1
sibling	drone_usage	proper_maintenance	1
sibling	ATM	ATC	1
sibling	MSPs	IT	1
ancestor	business_purposes	aerial_surveying	1
sibling	issuing_commands	receiving_responses	1
sibling	UAM	UTM	1
sibling	law_enforcement	and_energy	1
ancestor	related_fields	machine_learning	1
sibling	online_chat	open_evening	1
sibling	KDOT	private_sector	1
ancestor	administrative_action	remedial_training	1
ancestor	investigative_reports	releasable_documents	1
sibling	MISO	MIMO	1
sibling	michael_han	electrical_engineering	1
sibling	military_jets	general_aviation_aircraft	1
sibling	performance_based_navigation	aeronautical_information_management	1
sibling	DJI	epson_moverio	1
ancestor	FAA	partner_organizations	1
ancestor	state_laws	reckless_endangerment	1
sibling	electric_cars	consumer_electronics	1
sibling	PUMA	insitu_scan_eagle	1
sibling	alkali_bees	bumble_bees	1
sibling	position_hold	waypoint_mapping	1
ancestor	video_analytics	object_counting	1
ancestor	vice_president	public_figures	1
ancestor	message_delivery	mail_transfer	1
sibling	tv_voting	product_promotions	1
sibling	SOA	EDA	1
ancestor	uas_integration_office	FAA	1
ancestor	NAS	UAS	1
ancestor	FAA	regulatory_agencies	1
sibling	rich_client	service_oriented_architectures	1
ancestor	specific_ports	FTP	1
sibling	numerous_studies	military_aircraft	1
ancestor	great_features	powerful_motors	1
sibling	remote_management	JConsole	1
ancestor	commercial_uas_operations	beyond_visual_line_of_sight	1
sibling	package_deliveries	forest_management	1
ancestor	drone_technology	intel_corporation	1
sibling	external_media	PR	1
sibling	traffic_monitoring	weather_forecasting	1
ancestor	relevant_information	operations_manual	1
ancestor	news_outlets	CNN	1
ancestor	weather_monitoring	air_speed	1
sibling	andreessen_horowitz	google_ventures	1
sibling	UART	I2C	1
ancestor	electronic_devices	mobile_phones	1
sibling	mission_planning	fully_autonomous	1
sibling	mobile_phones	text_messaging	1
sibling	EAI	SOA	1
ancestor	counter_uas	security_related	1
sibling	environmental_monitoring	disaster_relief	1
sibling	gps_coordinates	traffic_alerts	1
sibling	drone_operators	aviation_industry	1
sibling	outdoor_sports	extreme_adventure	1
ancestor	rich_internet_applications	desktop_applications	1
sibling	special_events	special_event_assessment_ratings	1
ancestor	JConsole	hotspot_vm	1
sibling	interview_question	oracle_fusion_middleware_webcenter	1
sibling	CO2	nox_emissions	1
ancestor	commercial_applications	package_delivery	1
ancestor	return_to_home	operational_modes	1
ancestor	related_projects	industry_specific	1
ancestor	demonstration_range_facility	UAS	1
sibling	thread_activity	memory_usage	1
sibling	DDS	MSMQ	1
sibling	digital_marketing	SEO	1
sibling	GPS	glonass_satellite	1
