CONTEXT	COUNT_CONTEXT	RELATION	LEFTTERM	RIGHTTERM	COUNT
systems	49	sibling	DBMSs	ERP	1
systems	49	sibling	artificial_intelligence	autonomous_robotic	1
systems	49	sibling	drone_operations	traffic_management	1
systems	49	sibling	text_messaging	digital_conferences	1
systems	49	sibling	IS	gorgon_stare	1
systems	49	ancestor	modern_warfare	electronic_warfare	1
systems	49	sibling	JMS	WCF	1
systems	49	sibling	video_footage	package_delivery	1
systems	49	sibling	fixed_wing	autonomous_flight	1
systems	49	sibling	radio_frequency	gps_jamming	1
systems	49	ancestor	message_delivery	mail_transfer	1
systems	49	sibling	signal_processing	data_storage	1
systems	49	sibling	air_defense	electronic_warfare	1
systems	49	sibling	battery_charging_stations	emergency_landing	1
systems	49	ancestor	small_unmanned	voltage_regulation	1
applications	43	ancestor	public_safety	disaster_response	10
applications	43	sibling	emergency_response	geospatial_information_systems	2
applications	43	sibling	force_protection	perimeter_security	2
applications	43	sibling	aerial_photography	aerial_video	1
applications	43	sibling	news_feeds	content_syndication	1
applications	43	ancestor	resource_intensive	financial_modeling	1
applications	43	ancestor	digital_intelligence	image_recognition	1
applications	43	sibling	air_traffic_control	coastal_surveillance	1
applications	43	sibling	optical_tracking	gesture_recognition	1
applications	43	sibling	intra_bank	inter_bank	1
applications	43	sibling	hand_eye_coordination	STEM	1
applications	43	ancestor	resource_intensive	scientific_computing	1
applications	43	sibling	financial_modeling	scientific_computing	1
applications	43	sibling	multimedia_editing	scientific_computing	1
applications	43	sibling	news_feeds	extended_presence	1
applications	43	sibling	content_syndication	extended_presence	1
applications	43	sibling	delivering_packages	monitoring_crops	1
applications	43	sibling	multimedia_editing	financial_modeling	1
applications	43	ancestor	resource_intensive	multimedia_editing	1
applications	43	sibling	flight_skills	UAS	1
applications	43	sibling	rest_web_services	rest_api	1
applications	43	sibling	traffic_monitoring	weather_forecasting	1
applications	43	sibling	sense_and_avoid	gesture_recognition	1
applications	43	sibling	crop_monitoring	site_surveying	1
applications	43	sibling	sense_and_avoid	optical_tracking	1
applications	43	sibling	closed_source	open_source	1
applications	43	sibling	law_enforcement	emergency_management	1
applications	43	sibling	A2A	B2B	1
applications	43	sibling	interview_question	oracle_fusion_middleware	1
applications	43	sibling	search_and_rescue	homeland_security	1
applications	43	sibling	search_and_rescue	animal_surveys	1
applications	43	sibling	tv_voting	product_promotions	1
operations	35	sibling	state_department	FAA	3
operations	35	sibling	supply_deliveries	aerial_survey	3
operations	35	sibling	environment_exploration	search_and_rescue	2
operations	35	sibling	military_zones	search_and_rescue	2
operations	35	sibling	UN	US	2
operations	35	sibling	railway_inspections	video_surveillance	2
operations	35	sibling	low_intensity_conflicts	urban_warfare	2
operations	35	sibling	package_delivery	air_taxi_services	1
operations	35	sibling	electronic_warfare	early_warning	1
operations	35	sibling	drug_interdiction	search_and_rescue	1
operations	35	sibling	ICE	border_patrol	1
operations	35	sibling	counter_terrorism	counter_insurgency	1
operations	35	sibling	service_desk	IT	1
operations	35	sibling	aviation_safety	NAS	1
operations	35	sibling	search_and_rescue	military_training	1
operations	35	sibling	package_deliveries	beyond_line_of_sight	1
operations	35	sibling	situational_awareness	search_and_rescue	1
operations	35	sibling	CV	STOVL	1
operations	35	sibling	search_and_rescue	border_patrol	1
operations	35	sibling	military_training	border_patrol	1
operations	35	sibling	law_enforcement	airport_security	1
operations	35	sibling	autonomous_flight	beyond_line_of_sight	1
operations	35	sibling	COIN	CT	1
operations	35	sibling	CT	COIN	1
operations	35	sibling	remote_areas	search_and_rescue	1
operations	35	sibling	precision_agriculture	disaster_relief	1
technologies	30	sibling	SOA	AIA	3
technologies	30	ancestor	airspace_management	sense_and_avoid	2
technologies	30	sibling	LIDAR	satellite_images	2
technologies	30	sibling	SAR	UAV	2
technologies	30	sibling	GPS	GLONASS	1
technologies	30	sibling	autonomous_systems	machine_vision	1
technologies	30	ancestor	airspace_management	geo_fencing	1
technologies	30	sibling	SOAP	MSMQ	1
technologies	30	sibling	CAVs	TaaS	1
technologies	30	ancestor	evaluating_emerging	delivery_drones	1
technologies	30	sibling	PX4	pixhawk_autopilot	1
technologies	30	sibling	ground_control_stations	electro_optical	1
technologies	30	ancestor	XAML	WPF	1
technologies	30	sibling	CORBA	J2EE	1
technologies	30	sibling	CORBA	JMS	1
technologies	30	sibling	sense_and_avoid	geo_fencing	1
technologies	30	sibling	circulation_control	boundary_layer	1
technologies	30	ancestor	flow_control	boundary_layer	1
technologies	30	sibling	JMS	SOAP	1
technologies	30	sibling	solar_cells	hydrogen_based	1
technologies	30	sibling	J2EE	JMS	1
technologies	30	sibling	image_processing	IoT	1
technologies	30	sibling	interview_question	oracle_fusion_middleware	1
technologies	30	sibling	JMS	MSMQ	1
technologies	30	ancestor	flow_control	circulation_control	1
cases	19	sibling	drone_deliveries	search_and_rescue	4
cases	19	sibling	search_and_rescue	precision_agriculture	2
cases	19	sibling	infrastructure_monitoring	search_and_rescue	2
cases	19	sibling	drone_deliveries	infrastructure_monitoring	2
cases	19	sibling	video_surveillance	search_and_rescue	2
cases	19	sibling	drone_deliveries	video_surveillance	2
cases	19	sibling	drone_deliveries	precision_agriculture	2
cases	19	sibling	infrastructure_monitoring	precision_agriculture	2
cases	19	sibling	LCD	magnesium_alloy	1
tasks	18	sibling	news_gathering	package_delivery	4
tasks	18	sibling	aerial_photography	security_patrols	3
tasks	18	ancestor	GDOT	inspecting_bridges	2
tasks	18	sibling	exception_handling	high_speed	1
tasks	18	sibling	transferring_data	issuing_commands	1
tasks	18	sibling	land_surveying	search_and_rescue	1
tasks	18	sibling	bridge_inspections	land_surveying	1
tasks	18	sibling	bridge_inspections	search_and_rescue	1
tasks	18	ancestor	machine_vision	object_detection	1
tasks	18	sibling	transferring_data	receiving_responses	1
tasks	18	sibling	issuing_commands	receiving_responses	1
tasks	18	sibling	url_pushing	form_replication	1
sensors	17	sibling	IMU	rtk_gps	2
sensors	17	sibling	multi_spectral_cameras	stereo_cameras	2
sensors	17	sibling	total_stations	GNSS	2
sensors	17	sibling	fixed_wing_uavs	ground_based	2
sensors	17	sibling	EO	IR	1
sensors	17	sibling	synthetic_aperture_radar	passive_electronic	1
sensors	17	sibling	RF	video_cameras	1
sensors	17	sibling	visual_observations	hand_held	1
sensors	17	sibling	APP	RF	1
sensors	17	sibling	LIDAR	thermal_imaging_cameras	1
sensors	17	sibling	led_illumination	GPS	1
sensors	17	sibling	infrared_sensors	phased_array_radar	1
sensors	17	sibling	multi_spectral	hyper_spectral	1
missions	16	sibling	fighter_aircraft	attack_helicopter	3
missions	16	sibling	real_estate	search_and_rescue	2
missions	16	sibling	border_security	public_safety	2
missions	16	sibling	data_gathering	image_acquisition	2
missions	16	sibling	package_delivery	beyond_line_of_sight	1
missions	16	sibling	counterinsurgency_operations	hunter_killer	1
missions	16	sibling	marine_resources	search_and_rescue	1
missions	16	sibling	mission_planning	fully_autonomous	1
missions	16	ancestor	real_life	search_and_rescue	1
missions	16	sibling	law_enforcement	search_and_rescue	1
missions	16	sibling	search_and_rescue	drug_interdiction	1
solutions	13	sibling	video_compression	image_processing	3
solutions	13	ancestor	video_analytics	object_counting	1
solutions	13	ancestor	IT	HTML	1
solutions	13	ancestor	UAS	document_management	1
solutions	13	ancestor	video_analytics	number_plate_recognition	1
solutions	13	sibling	car_sharing	multi_modal	1
solutions	13	sibling	stockpile_measurement	topographic_mapping	1
solutions	13	sibling	single_user	multi_user	1
solutions	13	sibling	number_plate_recognition	object_counting	1
solutions	13	sibling	woods_hole_oceanographic_institute	remote_sensing	1
solutions	13	sibling	R&D	systems_engineering	1
standards	12	sibling	FIPS	AES	2
standards	12	sibling	W3C	IETF	1
standards	12	sibling	WSDL	SOAP	1
standards	12	sibling	OSHA	ADA	1
standards	12	sibling	cut_costs	improve_safety	1
standards	12	sibling	ISO	IEEE	1
standards	12	sibling	CO2	nox_emissions	1
standards	12	sibling	POSIX	ANSI	1
standards	12	ancestor	terminal_emulation	TTY	1
standards	12	ancestor	XML	SOAP	1
standards	12	ancestor	XML	WSDL	1
techniques	12	ancestor	non_destructive_inspection	eddy_current	1
techniques	12	sibling	magnetic_particle	ultrasonic_inspection	1
techniques	12	sibling	dye_penetrant	magnetic_particle	1
techniques	12	sibling	dye_penetrant	eddy_current	1
techniques	12	sibling	magnetic_particle	eddy_current	1
techniques	12	sibling	dye_penetrant	ultrasonic_inspection	1
techniques	12	sibling	eddy_current	ultrasonic_inspection	1
techniques	12	ancestor	non_destructive_inspection	ultrasonic_inspection	1
techniques	12	sibling	image_capture	advanced_search	1
techniques	12	ancestor	non_destructive_inspection	dye_penetrant	1
techniques	12	ancestor	non_destructive_inspection	magnetic_particle	1
techniques	12	ancestor	formal_verification	model_checking	1
services	12	sibling	network_monitoring	anomaly_detection	2
services	12	sibling	IPTV	OTT	2
services	12	sibling	CAE	ruag_aerospace	1
services	12	sibling	US	jordanian_intelligence	1
services	12	sibling	UAVs	aerial_imagery	1
services	12	sibling	utility_coordination	construction_phase	1
services	12	ancestor	profitable_commercial	infrastructure_inspection	1
services	12	sibling	wi_fi	cellular_phone	1
services	12	sibling	asset_inspection	data_management	1
services	12	sibling	interview_question	oracle_fusion_middleware	1
areas	11	sibling	RNO	MEV	2
areas	11	sibling	risk_management	program_management	1
areas	11	sibling	electronic_attack	strike_missions	1
areas	11	sibling	environmental_monitoring	disaster_relief	1
areas	11	sibling	flight_paths	restricted_airspace	1
areas	11	sibling	traffic_hotspots	accident_prone	1
areas	11	sibling	google_maps	google_wallet	1
areas	11	sibling	law_enforcement	disaster_relief	1
areas	11	sibling	environmental_monitoring	law_enforcement	1
areas	11	sibling	digital_marketing	SEO	1
capabilities	11	sibling	remote_sensing	field_test	2
capabilities	11	sibling	strong_technical	R&D	2
capabilities	11	sibling	UAVs	general_aviation_aircraft	2
capabilities	11	sibling	EO	IR	1
capabilities	11	sibling	RFID	optical_sensor	1
capabilities	11	sibling	DAS	ESM	1
capabilities	11	sibling	resource_management	path_planning	1
capabilities	11	sibling	threat_detection	situational_awareness	1
functions	11	sibling	business_development	government_relations	2
functions	11	sibling	project_management	business_intelligence	2
functions	11	sibling	traffic_monitoring	law_enforcement	1
functions	11	ancestor	safety_critical	full_authority_digital_electronic_control	1
functions	11	sibling	collision_warning	autonomous_emergency_braking	1
functions	11	ancestor	airport_management	regulatory_requirements	1
functions	11	sibling	traffic_monitoring	police_investigations	1
functions	11	sibling	electromagnetic_compatibility	electromagnetic_interference	1
functions	11	sibling	transaction_processing	message_brokering	1
issues	10	sibling	UAV	general_aviation	3
issues	10	sibling	civil_rights	civil_liberties	2
issues	10	sibling	faa_rules	potential_liability	2
issues	10	sibling	flight_control	human_factors	1
issues	10	ancestor	APM	data_management	1
issues	10	sibling	CS	SE	1
industries	10	sibling	B2B	B2C	2
industries	10	sibling	model_airplane	UAV	2
industries	10	sibling	mobile_phones	electric_cars	1
industries	10	sibling	mobile_phones	consumer_electronics	1
industries	10	sibling	electric_cars	consumer_electronics	1
industries	10	sibling	real_estate	motion_picture	1
industries	10	sibling	UAV	manned_aviation	1
industries	10	sibling	cyber_security	UAV	1
devices	10	sibling	OSDs	telemetry_radios	3
devices	10	ancestor	portable_storage	hard_drives	2
devices	10	sibling	fixed_wing	multi_rotor	1
devices	10	sibling	web_sites	IP	1
devices	10	sibling	cell_phones	PDAs	1
devices	10	sibling	usb_serial	usb_mass_storage	1
devices	10	ancestor	WIFI	windows_tablet	1
programs	10	sibling	FAA	NASA	2
programs	10	sibling	NASA	FAA	2
programs	10	sibling	homeland_security	department_of_defense	1
programs	10	sibling	ASAP	FOQA	1
programs	10	sibling	traffic_flow_management	automatic_dependent_surveillance_broadcast	1
programs	10	sibling	FOQA	LOSA	1
programs	10	sibling	ASAP	LOSA	1
programs	10	sibling	wind_tunnel	flight_test	1
components	10	sibling	interview_question	oracle_fusion_middleware	2
components	10	sibling	fixed_wing	multi_rotor	1
components	10	ancestor	high_cost	fixed_wing	1
components	10	sibling	machine_learning	neural_networks	1
components	10	sibling	web_server	gis_server	1
components	10	ancestor	high_cost	multi_rotor	1
components	10	sibling	machine_learning	deep_learning	1
components	10	sibling	deep_learning	neural_networks	1
components	10	sibling	low_frequency	high_frequency	1
companies	9	sibling	chess_dynamics	enterprise_control_systems	1
companies	9	sibling	amazon_prime_air	DJI	1
companies	9	sibling	blighter_surveillance_systems	enterprise_control_systems	1
companies	9	ancestor	large_cap	lockheed_martin	1
companies	9	sibling	blighter_surveillance_systems	chess_dynamics	1
companies	9	sibling	bae_systems	hdt_global	1
companies	9	sibling	aerial_photo	video_production	1
companies	9	sibling	demonstration_purposes	prohibit_civilian	1
companies	9	sibling	joby_aviation	silicon_valley	1
jobs	9	sibling	interview_question	oracle_fusion_middleware	8
jobs	9	sibling	advanced_technology	highly_skilled	1
tests	8	sibling	straight_leg_raise	knee_extension	2
tests	8	sibling	SR	TT	2
tests	8	sibling	current_injection	environmental_testing	1
tests	8	sibling	usb_serial	mass_storage	1
tests	8	sibling	continuous_variables	chi_square	1
tests	8	sibling	damp_heat	thermal_cycling	1
variants	8	sibling	fixed_wing	multi_rotor	1
variants	8	sibling	rotary_wing	multi_rotor	1
variants	8	sibling	fixed_wing	rotary_wing	1
variants	8	sibling	foldable_wing	multi_rotor	1
variants	8	sibling	fixed_wing	foldable_wing	1
variants	8	sibling	VTOL	tilt_rotor	1
variants	8	sibling	CTOL	CV	1
variants	8	sibling	foldable_wing	rotary_wing	1
skills	8	sibling	CS	SE	3
skills	8	sibling	critical_thinking	problem_solving	2
skills	8	sibling	fpv_camera	gimbal_control	2
skills	8	sibling	aeronautical_decision_making	situational_awareness	1
across	8	sibling	reduce_risk	lower_costs	1
across	8	sibling	industry_analysts	market_participants	1
across	8	sibling	stockpile_measurement	inventory_management	1
across	8	sibling	delivers_high_quality	engaging_content	1
across	8	sibling	project_management	software_development	1
across	8	sibling	information_sharing	data_exchange	1
across	8	sibling	growing_population	rapid_urbanization	1
across	8	sibling	remotely_piloted_aircraft	autonomous_systems	1
markets	8	sibling	UAS	SUAS	2
markets	8	sibling	law_enforcement	homeland_security	2
markets	8	sibling	autonomous_cars	mobile_phone	1
markets	8	sibling	aerial_photography	police_surveillance	1
markets	8	sibling	land_surveying	police_surveillance	1
markets	8	sibling	aerial_photography	land_surveying	1
protocols	8	sibling	MSMQ	SOAP	1
protocols	8	ancestor	OAuth	SAML	1
protocols	8	sibling	JSON	OData	1
protocols	8	sibling	DDS	SOAP	1
protocols	8	sibling	AMQP	SOAP	1
protocols	8	sibling	DDS	MSMQ	1
protocols	8	sibling	DDS	AMQP	1
protocols	8	sibling	MSMQ	AMQP	1
products	8	sibling	APM	PX4	2
products	8	sibling	interview_question	oracle_fusion_middleware	2
products	8	sibling	DEM	orthomosaic_image	2
products	8	sibling	application_specific	standard_cots	1
products	8	sibling	rapid_deployment	high_resolution	1
methods	7	sibling	PVT	master_meter	2
methods	7	sibling	NOTIFY	PUBLISH	1
methods	7	sibling	model_based	object_oriented_design	1
methods	7	ancestor	quality_control	statistical_process_control	1
methods	7	sibling	LOS	PID	1
methods	7	ancestor	environmental_screening	highly_accelerated_life_testing	1
statistics	7	sibling	memory_usage	garbage_collection	3
statistics	7	ancestor	VM	garbage_collection	2
statistics	7	ancestor	VM	memory_usage	2
scenarios	7	sibling	package_deliveries	farmland_surveys	2
scenarios	7	sibling	farmland_surveys	search_and_rescue	2
scenarios	7	sibling	package_deliveries	search_and_rescue	2
scenarios	7	sibling	quality_attributes	quality_attribute	1
interests	7	sibling	national_security	foreign_policy	7
professionals	7	sibling	law_enforcement	homeland_security	4
professionals	7	sibling	civil_engineers	land_surveyors	1
professionals	7	sibling	software_engineers	quality_assurance	1
professionals	7	sibling	land_surveyors	civil_engineering	1
analysis	7	ancestor	GIS	spatial_analysis	2
analysis	7	sibling	raster_analysis	spatial_analysis	2
analysis	7	ancestor	GIS	raster_analysis	2
analysis	7	sibling	software_engineering	object_oriented	1
parameters	6	sibling	remote_sensing	ground_truth	2
parameters	6	sibling	burst_mode	auto_exposure	1
parameters	6	sibling	single_shot	burst_mode	1
parameters	6	ancestor	flight_control	PIDs	1
parameters	6	sibling	single_shot	auto_exposure	1
fields	6	sibling	UAV	CAS	2
fields	6	sibling	swarm_intelligence	swarm_robotics_research	1
fields	6	sibling	civil_engineering	electrical_engineering	1
fields	6	sibling	CI	LI	1
fields	6	sibling	precision_agriculture	water_management	1
interfaces	6	sibling	CAN	API	1
interfaces	6	sibling	3.3v_uart	3.3v_i2c	1
interfaces	6	sibling	I2C	SPI	1
interfaces	6	ancestor	dedicated_hardware	API	1
interfaces	6	sibling	operational_procedures	ground_control_station	1
interfaces	6	ancestor	dedicated_hardware	CAN	1
streams	6	sibling	subbituminous_coal	bituminous_coal	1
streams	6	ancestor	flue_gas	natural_gas	1
streams	6	sibling	subbituminous_coal	natural_gas	1
streams	6	ancestor	flue_gas	bituminous_coal	1
streams	6	ancestor	flue_gas	subbituminous_coal	1
streams	6	sibling	bituminous_coal	natural_gas	1
sciences	6	sibling	remote_sensing	spatial_information	6
elements	6	sibling	ground_control_stations	data_links	6
modes	6	sibling	GMTI	SAR	2
modes	6	ancestor	image_capture	point_of_interest	2
modes	6	sibling	white_hot	black_hot	1
modes	6	sibling	first_person_view	line_of_sight	1
algorithms	6	sibling	particle_swarm_optimization	artificial_bee_colony	1
algorithms	6	ancestor	computational_intelligence	fuzzy_logic	1
algorithms	6	ancestor	computational_intelligence	artificial_neural_networks	1
algorithms	6	sibling	attitude_determination	multi_sensor_fusion	1
algorithms	6	sibling	artificial_neural_networks	fuzzy_logic	1
algorithms	6	sibling	SOPSO	MOPSO	1
organizations	5	sibling	government_agencies	search_and_rescue	1
organizations	5	sibling	real_estate_companies	public_safety	1
organizations	5	sibling	DARPA	NASA	1
organizations	5	sibling	safety_guidelines	nationwide_community_based	1
organizations	5	sibling	aviation_safety	air_traffic	1
this	5	sibling	JMS	ibm_websphere	5
ports	5	sibling	USB	uart_connection	4
ports	5	sibling	BUZZER	SWITCH	1
platforms	5	sibling	fixed_wing	rotary_wing	2
platforms	5	sibling	APM	parrot_ar.drone	1
platforms	5	sibling	content_creation	email_marketing	1
platforms	5	sibling	web_browsers	smart_devices	1
images	5	sibling	RGB	NIR	4
images	5	sibling	image_capture	geo_tag	1
measurements	5	sibling	ground_based	UAV	2
measurements	5	ancestor	ground_truth	leaf_area_index	2
measurements	5	sibling	current_consumption	battery_voltage	1
models	5	sibling	professional_grade	DIY	2
models	5	sibling	control_laws	develop_math	2
models	5	sibling	xiaomi_mi_drone_1080p	xiaomi_mi_drone_4k	1
agencies	5	sibling	law_enforcement	emergency_response	2
agencies	5	ancestor	indian_government	disaster_management	1
agencies	5	sibling	US	british_intelligence	1
agencies	5	sibling	NGOs	UN	1
formats	5	sibling	RTF	HTML	1
formats	5	sibling	RTF	DOC	1
formats	5	sibling	HTML	DOC	1
formats	5	sibling	HTML	JSON	1
formats	5	sibling	DNG	JPEG	1
requirements	5	sibling	pre_authorization	public_disclosure	2
requirements	5	sibling	daytime_operations	visual_line_of_sight	1
requirements	5	sibling	cutter_based	land_based	1
requirements	5	sibling	interview_question	oracle_fusion_middleware	1
drivers	5	sibling	I2C	SPI	2
drivers	5	sibling	low_level	high_level	1
drivers	5	sibling	odbc_drivers	teradata_odbc	1
drivers	5	sibling	ATI	NVIDIA	1
events	5	sibling	special_events	special_event_assessment_ratings	1
events	5	sibling	online_chat	open_evening	1
events	5	ancestor	action_sports	BMX	1
events	5	sibling	major_flooding	extreme_weather	1
events	5	sibling	interview_question	oracle_fusion_middleware	1
patterns	5	sibling	MVC	MVVM	1
patterns	5	sibling	LILE	HFSE	1
patterns	5	sibling	REE	trace_element	1
patterns	5	sibling	MVC	MVP	1
patterns	5	sibling	rare_earth	trace_element	1
matters	4	sibling	contract_disputes	product_liability	2
matters	4	ancestor	international_security	border_security	2
vulnerabilities	4	sibling	cross_site_scripting	sql_injection	1
vulnerabilities	4	sibling	cross_site_scripting	OS	1
vulnerabilities	4	sibling	sql_injection	OS	1
vulnerabilities	4	sibling	sql_injection	XSS	1
communities	4	sibling	law_enforcement	national_security	2
communities	4	sibling	air_force	army_intelligence	1
communities	4	sibling	public_safety	homeland_security	1
teams	4	sibling	open_source_projects	corporate_development	1
teams	4	sibling	R&D	field_operations	1
teams	4	sibling	unmanned_aerial	ground_vehicle	1
teams	4	sibling	DJI	epson_moverio	1
hazards	4	sibling	nearby_aircraft	airspace_restrictions	3
hazards	4	sibling	forest_fires	volcanic_eruptions	1
manufacturers	4	sibling	lockheed_martin	northrop_grumman	1
manufacturers	4	sibling	flying_car	passenger_drone	1
manufacturers	4	sibling	lockheed_martin	general_atomics	1
manufacturers	4	sibling	northrop_grumman	general_atomics	1
operators	4	sibling	aviation_authorities	private_sector	3
operators	4	sibling	governmental_regulation	private_property	1
commands	4	sibling	MAVLink	PX4	2
commands	4	sibling	LINK	JOIN	1
commands	4	sibling	set_position_target_global_int	set_position_target_local_ned_mavlink	1
files	4	sibling	README	TODO	4
purposes	4	sibling	emergency_operations	traffic_management	2
purposes	4	sibling	wildlife_conservation	aerial_photography	1
purposes	4	sibling	search_and_rescue	public_safety	1
members	4	sibling	dedicated_technical	editorial_team	1
members	4	sibling	drone_operators	aviation_industry	1
members	4	sibling	AOPA	EAA	1
members	4	sibling	low_level	mid_level	1
problems	4	sibling	water_supply	public_health	2
problems	4	ancestor	solving_complex	load_balancing	1
problems	4	sibling	signal_integrity	EMI	1
uses	4	sibling	inspecting_cell_towers	wind_turbines	2
uses	4	sibling	data_acquisition	control_system	2
efforts	4	sibling	data_collection	systems_engineering	1
efforts	4	sibling	low_altitude_authorization	notification_capability	1
efforts	4	sibling	image_processing	feature_extraction	1
efforts	4	sibling	EAI	SOA	1
pins	4	sibling	SCL	SDA	2
pins	4	sibling	BLK	GRN	1
pins	4	sibling	SDA	SCL	1
sources	3	sibling	air_quality	NOx	2
sources	3	sibling	GSM	CDMA	1
possess	3	sibling	humanitarian_actors	MONUSCO	3
resources	3	sibling	web_services	rest_apis	1
resources	3	sibling	annual_reports	federal_aviation_administration	1
resources	3	sibling	expression_filter	rules_manager	1
projects	3	sibling	QGroundControl	MAVLink	2
projects	3	sibling	SBIR	STTR	1
officials	3	sibling	air_force	korean_military	1
officials	3	sibling	department_of_transportation	state_fair	1
officials	3	ancestor	UAE	abu_dhabi	1
machines	3	sibling	flying_robots	artificially_intelligent	3
business	3	ancestor	service_provider	service_provisioning	1
business	3	sibling	IT	cloud_services	1
business	3	sibling	business_analysts	project_managers	1
does	3	sibling	UAS	UAV	1
does	3	sibling	TCP	SSL	1
does	3	sibling	mavic_pro	phantom_series	1
provides	3	sibling	DOT	DEC	1
provides	3	sibling	HYWINGS	FLIR	1
provides	3	sibling	VRSG	MACE	1
swarms	3	sibling	bird_flocks	UAV	2
swarms	3	sibling	UAVs	UAV	1
studies	3	sibling	magnetic_fabric	rock_magnetism	3
tools	3	sibling	CAD	graphic_design	1
tools	3	sibling	remote_sensing	data_collection	1
tools	3	sibling	interview_question	oracle_fusion_middleware	1
forms	3	sibling	interview_question	oracle_fusion_middleware	3
apps	3	sibling	desktop_pcs	ground_station	2
apps	3	sibling	car_sharing	ride_hailing	1
families	3	sibling	TTL	CMOS	2
families	3	sibling	high_density	connectivity_line	1
locations	3	sibling	forested_areas	narrow_paths	2
locations	3	sibling	control_rooms	geographically_distributed	1
enables	3	sibling	restful_api	soap_web_services	1
enables	3	sibling	high_resolution	thermal_images	1
enables	3	sibling	VMware	citrix_xenserver	1
process	3	sibling	magma_chamber	magma_ascent	2
process	3	sibling	fractional_crystallization	crustal_contamination	1
experts	3	sibling	software_developers	payload_integration	1
experts	3	sibling	quality_assurance	test_automation	1
experts	3	sibling	industry_insiders	UAV	1
users	3	ancestor	UC	3rd_party	2
users	3	sibling	industry_leaders	forward_thinking	1
quadcopters	3	ancestor	ready_to_fly	xiro_xplorer_mini	1
quadcopters	3	ancestor	ready_to_fly	parrot_bebop	1
quadcopters	3	sibling	xiro_xplorer_mini	parrot_bebop	1
students	3	sibling	CS	SE	1
students	3	sibling	michael_han	electrical_engineering	1
students	3	sibling	bae_systems	cranfield_university	1
scores	3	sibling	SR	TT	2
scores	3	sibling	FI	cloze_test	1
latencies	3	sibling	radio_modem	udp_connections	1
latencies	3	sibling	serial_port	udp_connections	1
latencies	3	sibling	serial_port	radio_modem	1
lines	3	sibling	CTS	RTS	1
lines	3	sibling	MOSI	SCK	1
lines	3	sibling	SDA	SCL	1
